ticker,description,asset_class,quantity,cost_basis_eur,currency
MAGS,MAG-7 Smart Portfolio (proxy: MAGS ETF),equity,82.1472,4288.88,USD
GLD,Gold (proxy: GLD ETF),gold,2.3941,946.22,USD
